name,weight,price,ingredients,allergens,categories
Foe yong hai met nasi goreng,,,"rijst (47%), water, prei, ui, kippenei (eieren), witte kool, suiker, wortel, champignon, natuurazijn, melk (lactose, melk), room (lactose, melk), gemodificeerd aardappelzetmeel, zout, plantaardige olie ongehard, kruiden & specerijen, raapzaadolie ongehard, suikerstroop, tomatenpoeder, gejodeerd zout, uienpoeder, glucose-fructosestroop, invertsuikerstroop, natuurlijk aroma (mosterd, selderij), maltodextrine, rode bietenpoeder, tarwebloem (tarwe), spinaziepoeder, glucosestroop gedroogd (tarwe), gistextract, gemodificeerd maiszetmeel, raapolie ongehard, sojabonen (soja), melasse, gehydrolyseerd soja en maiseiwit (soja), voedingszuren (citroenzuur, azijnzuur, melkzuur), zonnebloemolie ongehard, gekarameliseerde suiker, azijn, zetmeel, zuurteregelaars (E500), antiklontermiddelen (E535), selderij (selderij), antioxidanten (E300), conserveermiddelen (E211, E224, E202), kleurstoffen (karamel), stabilisatoren (xanthaangom), verdikkingsmiddel (guargom), paprikasap concentraat.","Aanwezig: gluten, eieren, soja, melk, selderij, mosterd, tarwe, lactose","Keukens, Vegetarisch, Vegetarisch"
Kipsate in satesaus met bami goreng,500 gram,"8,55","durum tarwegries (tarwe), water, kip (11%), ui, witte kool, pinda (4%)(pinda), prei, wortel, suiker, suikerstroop, zout, zonnebloemolie ongehard, plantaardige olie ongehard, verdikkingsmiddel (gemodificeerd maiszetmeel), kruiden & specerijen, raapzaadolie ongehard, azijn, soja-olie ongehard (soja), xylose, tapiocazetmeel, glucose-fructosestroop, gejodeerd zout, sojabonen (soja), invertsuikerstroop, natuurlijk aroma (mosterd, selderij), tarwebloem (tarwe), spinaziepoeder, glucosestroop gedroogd (tarwe), gistextract, uienpoeder, maltodextrine, melasse, gehydrolyseerd soja en maiseiwit (soja), zetmeel, gekarameliseerde suiker, zuurteregelaars (E500), antiklontermiddelen (E535), selderij (selderij), conserveermiddelen (E211, E210, E202), voedingszuren (melkzuur, azijnzuur, citroenzuur), kleurstoffen (karamel), stabilisatoren (xanthaangom), paprikasap concentraat.","Aanwezig: Gluten, Pinda, Soja, Selderij, Mosterd, Gevogelte, Tarwe","Keukens, Oosters, Gevogelte, Kleine maaltijden (350 gram)"
Babi pangang met bami goreng,500 gram,"8,55","durum tarwegries (tarwe), water, varkensvlees (11%), witte kool, ui, prei, suiker, wortel, natuurazijn, gemodificeerd aardappelzetmeel, zonnebloemolie ongehard, zout, plantaardige olie ongehard, suikerstroop, raapzaadolie ongehard, azijn, kruiden & specerijen, tomatenpoeder, gejodeerd zout, uienpoeder, aardappelzetmeel, glucose-fructosestroop, natuurlijk aroma (mosterd, selderij), invertsuikerstroop, rode bietenpoeder, tarwebloem (tarwe), varkenseiwit, spinaziepoeder, glucosestroop gedroogd (tarwe), gistextract, sojabonen (soja), maltodextrine, tarwevezel (tarwe), melasse, gehydrolyseerd soja en maiseiwit (soja), zuurteregelaars (E500), stabilisatoren (E451, xanthaangom), gekarameliseerde suiker, zetmeel, antiklontermiddelen (E535), selderij (selderij), conserveermiddelen (E211, E224, E202), voedingszuren (melkzuur, azijnzuur, citroenzuur), kleurstoffen (karamel), paprikasap concentraat.","Aanwezig: Gluten, Soja, Selderij, Mosterd, Varkensvlees, Tarwe","Keukens, Oosters, Varkensvlees"
Stamppot snijbonen en kipfilet,500 gram,"8,55","aardappel (32%), snijbonen (25%), water, kip (15%), zonnebloemolie ongehard, melkpoeder (lactose, melk), gejodeerd zout, zout, soja-olie ongehard (soja), verdikkingsmiddel (gemodificeerd maiszetmeel), raapzaadolie gehard, tapiocazetmeel, kruiden & specerijen (mosterd, selderij), xylose, aroma (soja, eieren), melk (lactose, melk), room (lactose, melk), rijstebloem, gistextract, uienpoeder, gehydrolyseerd soja-eiwit (soja), palmvet ongehard, natuurazijn, natuurlijk aroma (mosterd, selderij), glucosestroop, suiker, raapzaadolie ongehard, antioxidanten (E304), emulgatoren (E450), voedingszuren (soja) (E322 (soja)), kleurstoffen (caroteen).","Aanwezig: Eieren, Soja, Melk, Selderij, Mosterd, Gevogelte, Lactose","Keukens, Hollands, Gevogelte, Kleine maaltijden (350 gram)"
Chili con carne met rijst,500 gram,"8,55","rijst (30%), water, bruine bonen (15%), rundvlees (12%), erwten, mais, appel, tomaat, paprika, ananas, kruiden & specerijen (selderij), wortel, suiker, ui, mais, aardappelzetmeel, palmvet ongehard, zout, gejodeerd zout, gistextract, citroensap, azijn, aroma, rundereiwit, stabilisatoren (E451, xanthaangom), voedingszuren (citroenzuur, azijnzuur), zuurteregelaars (calciumchloride), gemodificeerd maiszetmeel, antioxidanten (E300), conserveermiddelen (E202), verdikkingsmiddel (guargom).","Aanwezig: Selderij, Rundvlees","Keukens, Oosters, Gevogelte, Kleine maaltijden (350 gram)"
"Speklap, rode bieten met appel en aardappelpuree",500 gram,"8,55","rode biet (26%), aardappel (24%), water, varkensvlees (14%), melk (lactose, melk), appel (5%), zonnebloemolie ongehard, suiker, aardappelzetmeel, zout, maltodextrine, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, natuurazijn, natuurlijk aroma (mosterd, selderij), gejodeerd zout, dextrose, kruiden & specerijen, tarwezetmeel (tarwe), kleurstoffen (paprika-extract), voedingszuren (citroenzuur, E331), boteraroma (lactose, melk), conserveermiddelen (E202, E224), aroma (selderij, soja), antioxidanten (E300), tomatenpuree, maisolie, natuurlijk ui aroma, gekarameliseerde suiker, antiklontermiddelen (E551), gistextract, gehydrolyseerd soja-eiwit (soja), smaakversterkers (E640), maiszetmeel, uienextract, zuurteregelaars (E500), verdikkingsmiddel (E407), glucosestroop, ui, karamelsuikerstroop, raapzaadolie ongehard, paprika.","Aanwezig: Gluten, Soja, Melk, Selderij, Mosterd, Varkensvlees, Tarwe, Lactose","Keukens, Hollands, Varkensvlees, Kleine maaltijden (350 gram)"
"Hamlap, rode bieten met appel en aardappelpuree",500 gram,"8,55","rode biet (26%), aardappel (24%), water, varkensvlees (13%), melk (lactose, melk), appel (5%), zonnebloemolie ongehard, aardappelzetmeel, suiker, maiszetmeel, zout, kruiden & specerijen, maltodextrine, natuurazijn, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, natuurlijk aroma (mosterd, selderij), gejodeerd zout, dextrose, uienextract, gekarameliseerde suiker, voedingszuren (citroenzuur, E331), boteraroma (lactose, melk), conserveermiddelen (E202, E224), antioxidanten (E300), tomatenpuree, maisolie, aroma, smaakversterkers (E640), zuurteregelaars (E500), verdikkingsmiddel (E407), glucosestroop, ui, karamelsuikerstroop, raapzaadolie ongehard, paprika.","Aanwezig: Melk, Selderij, Mosterd, Varkensvlees, Lactose","Keukens, Hollands, Varkensvlees, Kleine maaltijden (350 gram)"
"Kipfilet, rode bieten met appel en aardappelen",500 gram,"8,55","aardappel (34%), rode biet (26%), water, kip (15%), appel (5%), suiker, aardappelzetmeel, gejodeerd zout, natuurazijn, soja-olie ongehard (soja), zout, tapiocazetmeel, verdikkingsmiddel (gemodificeerd maiszetmeel), xylose, aroma (soja, eieren), rijstebloem, gistextract, uienpoeder, gehydrolyseerd soja-eiwit (soja), palmvet ongehard, natuurlijk aroma (mosterd, selderij), kruiden & specerijen, antioxidanten (E300), voedingszuren (citroenzuur), glucosestroop, raapzaadolie ongehard, conserveermiddelen (E224).","Aanwezig: Eieren, Soja, Selderij, Mosterd, Gevogelte","Keukens, Hollands, Gevogelte"
"Lekkerbek met remouladesaus, snijbonen en aardappelpuree",500 gram,"8,55","snijbonen (36%), aardappel (24%), heek (13%)(vis), melk (lactose, melk), water, raapolie ongehard, gemodificeerd aardappelzetmeel, zonnebloemolie ongehard, suiker, gemodificeerd tarwezetmeel (tarwe), zout, azijn, kruiden & specerijen, scharreleigeel (eieren), ui, verdikkingsmiddel (gemodificeerd aardappelzetmeel, guargom), aroma, tarwemeel (tarwe), tarwebloem (tarwe), dextrose, gehydrolyseerd plantaardig eiwit, maltodextrine, conserveermiddelen (E202, E211), boteraroma (lactose, melk), gistextract, zoetstoffen (E955, E954), voedingszuren (E385, citroenzuur), zuurteregelaars (E500), rijstebloem, kurkuma-extract, smaakversterkers (E621), stabilisatoren (xanthaangom), uienpoeder, raapzaadolie ongehard.","Aanwezig: Gluten, Eieren, Vis, Melk, Glutamaten, Tarwe, Lactose","Keukens, Hollands, Vis"
"Slavink, spitskool met saus, aardappelpuree",500 gram,"8,55","spitskool (30%), aardappel (24%), water, varkensvlees (13%), melk (lactose, melk), paneermeel (tarwe), zonnebloemolie ongehard, zout, tarwebloem (tarwe), rundvlees (<1%), palmvet ongehard, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, verdikkingsmiddel (gemodificeerd maiszetmeel), maltodextrine, kruiden & specerijen, tarwezetmeel (tarwe), gistextract, gejodeerd zout, paprika-extract, natuurlijk aroma, dextrose, glucosestroop gedroogd, varkenseiwit, gekarameliseerde suiker, palmolie ongehard, conserveermiddelen (E202), boteraroma (lactose, melk), melkeiwitten (lactose, melk), lactose (lactose, melk), ui, tomatenpuree, maisolie, aroma, volle melkpoeder (lactose, melk), uienpoeder, raapzaadolie ongehard, gehydrolyseerd plantaardig eiwit (tarwe), voedingszuren (E262), karamelsuikerstroop, paprika, stabilisatoren (xanthaangom), antioxidanten (E306).","Aanwezig: Gluten, Melk, Rundvlees, Varkensvlees, Tarwe, Lactose","Keukens, Hollands, Varkensvlees, Kleine maaltijden (350 gram)"
"Varkenssaucijs, bruine bonen met spek en aardappelpuree",500 gram,"8,55","bruine bonen (27%), aardappel (24%), water, varkensvlees (16%), melk (lactose, melk), zonnebloemolie ongehard, paneermeel (tarwe), zout, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, kruiden & specerijen, verdikkingsmiddel (gemodificeerd aardappelzetmeel), maltodextrine, varkensdarm, gejodeerd zout, aroma, conserveermiddelen (E202, E250, E252), boteraroma (lactose, melk), gistextract, antioxidanten (E301), tomatenpuree, maisolie, korianderolie, natuurlijk aroma, paprika-extract, voedingszuren (citroenzuur), varkenseiwit, mosterdmeel (mosterd), selderij (selderij), zuurteregelaars (calciumchloride), ui, karamelsuikerstroop, paprika, uienpoeder, raapzaadolie ongehard.","Aanwezig: Gluten, Melk, Selderij, Mosterd, Varkensvlees, Tarwe, Lactose","Keukens, Hollands, Varkensvlees, Kleine maaltijden (350 gram)"
"Kipfilet, broccoli en aardappelpuree",500 gram,"8,55","broccoli (36%), aardappel (24%), kip (15%), water, melk (lactose, melk), zonnebloemolie ongehard, zout, verdikkingsmiddel (gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel), soja-olie ongehard (soja), tapiocazetmeel, xylose, aroma (soja, eieren), gistextract, gejodeerd zout, rijstebloem, uienpoeder, kruiden & specerijen, gehydrolyseerd soja-eiwit (soja), palmvet ongehard, conserveermiddelen (E202), boteraroma (lactose, melk), ui, raapzaadolie ongehard.","Aanwezig: Eieren, Soja, Melk, Gevogelte, Lactose","Keukens, Hollands, Gevogelte, Kleine maaltijden (350 gram)"
"Kipburger, sperziebonen en aardappelen",500 gram,"8,55","sperziebonen (36%), aardappel (34%), kip (14%), water, paneermeel (rogge, tarwe), verdikkingsmiddel (gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, E466), kalkoen, gejodeerd zout, zout, kruiden & specerijen (mosterd, selderij), aroma (soja, eieren), gistextract, rijstebloem, uienpoeder, gehydrolyseerd soja-eiwit (soja), palmvet ongehard, kleurstoffen (paprika-extract, E170), dextrose, glucosestroop, kippeneipoeder (eieren), zeezout, palmolie ongehard, maiszetmeel, stabilisatoren (E451, E452), emulgatoren (E471, E450), ui, tarwemeel (tarwe), tarwezetmeel (tarwe), paprika, soja-eiwit (soja), tarwebloem (tarwe), antioxidanten (E300), gemodificeerd tarwezetmeel (tarwe), prei, paprika-extract, maltodextrine, rundercollageen, smaakversterkers (E621), soja-eiwitisolaat (soja), sojameel (soja), koolzaadeiwit, maiseiwit, melkeiwitten (lactose, melk), rijsmiddelen (E500i), raapzaadolie ongehard.","Aanwezig: Gluten, Eieren, Soja, Melk, Selderij, Mosterd, Rundvlees, Gevogelte, Glutamaten, Tarwe, Rogge, Lactose","Keukens, Hollands, Gevogelte, Kleine maaltijden (350 gram)"
"Varkensfiletlap, prei met saus en aardappelen",500 gram,"8,55","aardappel (34%), prei (27%), water, varkensvlees (15%), tarwebloem (tarwe), zout, palmvet ongehard, verdikkingsmiddel (gemodificeerd maiszetmeel, E407), kruiden & specerijen (selderij), gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, raapolie ongehard, gejodeerd zout, zonnebloemolie ongehard, maltodextrine, maiszetmeel, palmolie ongehard, melkeiwitten (lactose, melk), lactose (lactose, melk), uienpoeder, aroma, ui, volle melkpoeder (lactose, melk), raapzaadolie ongehard, gehydrolyseerd plantaardig eiwit (tarwe), gistextract, tomatenpuree, maisolie, natuurlijk aroma, korianderolie, aardappelzetmeel, dextrose, kleurstoffen (paprika-extract), gehydrolyseerd koolzaadeiwit, voedingszuren (E331iii), suiker, paprika gedroogd, rijsmiddelen (E500ii), karamelsuikerstroop, paprika, stabilisatoren (xanthaangom), antioxidanten (E306).","Aanwezig: Gluten, Melk, Selderij, Varkensvlees, Tarwe, Lactose","Keukens, Hollands, Varkensvlees"
"Kalkoenstooflap, snijbonen en aardappelen",500 gram,"8,55","snijbonen (36%), aardappel (34%), kalkoen (15%), water, gejodeerd zout, verdikkingsmiddel (gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel), dextrose, maltodextrine, rijstzetmeel, zout, aroma (soja, eieren), gistextract, karamelsuikerstroop, glucosestroop, rijstebloem, uienpoeder, gehydrolyseerd soja-eiwit (soja), palmvet ongehard, kruiden & specerijen, ui, raapzaadolie ongehard.","Aanwezig: Eieren, Soja, Gevogelte","Keukens, Hollands, Gevogelte"
"Boomstam, spinazie a la crème, en aardappelen",500 gram,"8,55","aardappel (34%), spinazie (31%), water, varkensvlees (9%), varkensseparatorvlees, paneermeel (tarwe), melk (lactose, melk), room (lactose, melk), kaas (lactose, melk), tarwebloem (tarwe), maiszetmeel, zout, palmvet ongehard, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, gejodeerd zout, verdikkingsmiddel (gemodificeerd maiszetmeel), maltodextrine, kruiden & specerijen (mosterd), aardappelzetmeel, varkenseiwit, zetmeel, palmolie ongehard, aroma, melkeiwitten (lactose, melk), lactose (lactose, melk), natuurlijk aroma (mosterd, selderij), ui, raapzaadolie ongehard, tomatenpuree, maisolie, volle melkpoeder (lactose, melk), tarwezetmeel (tarwe), natuurazijn, zonnebloemolie ongehard, rookaroma, dextrose, uienpoeder, gehydrolyseerd plantaardig eiwit (tarwe), gistextract, karamelsuikerstroop, glucosestroop, paprika, stabilisatoren (xanthaangom), antioxidanten (E306).","Aanwezig: gluten, melk, selderij, mosterd, varkensvlees, tarwe, lactose","Keukens, Hollands, Varkensvlees, Kleine maaltijden (350 gram)"
"Procureurlap, spruitjes met spek en aardappelpuree",500 gram,"8,55","spruiten (35%), aardappel (24%), varkensvlees (14%), water, melk (lactose, melk), zonnebloemolie ongehard, zout, gekarameliseerde suiker, kruiden & specerijen, maltodextrine, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, verdikkingsmiddel (gemodificeerd aardappelzetmeel), aroma, varkensspek, tomatenpuree, ui, gejodeerd zout, paprika, tomaat, pastinaak, selderij (selderij), prei, wortel, stabilisatoren (xanthaangom, E452, E451), conserveermiddelen (E202, E250, E252), gistextract, boteraroma (lactose, melk), maisolie, kleurstoffen (E150d, E150c), azijn, raapzaadolie gehard, smaakversterkers (E621), natuurlijk aroma, wijnazijn, gemodificeerd zetmeel, champignon, suikerstroop, aardappelzetmeel, citroensap, uiensap, karamelsiroop, suiker, guargom, zuurteregelaars (kaliumchloride), rookaroma, karamelsuikerstroop, uienpoeder, raapzaadolie ongehard, antioxidanten (E301).","Aanwezig: Melk, Selderij, Varkensvlees, Glutamaten, Lactose","Keukens, Hollands, Varkensvlees, Kleine maaltijden (350 gram)"
"Kipvink, tuinbonen met saus en aardappelen",500 gram,"8,55","aardappel (34%), tuinbonen (32%), water, kip (13%), tarwebloem (tarwe), kippencollageen, aardappelzetmeel, kruiden & specerijen, zout, verdikkingsmiddel (gemodificeerd maiszetmeel, guargom), rundereiwit, palmvet ongehard, gejodeerd zout, raapzaadolie ongehard, glucosestroop, ui, paprika, aroma (soja, eieren), gistextract, uienpoeder, rijstebloem, gehydrolyseerd soja-eiwit (soja), palmolie ongehard, antioxidanten (E300, E301, E306), melkeiwitten (lactose, melk), lactose (lactose, melk), stabilisatoren (E451, xanthaangom), gist, prei, dextrose, zuurteregelaars (E500), voedingszuren (E262), emulgatoren (E450), volle melkpoeder (lactose, melk), gehydrolyseerd plantaardig eiwit (tarwe).","Aanwezig: Gluten, Eieren, Soja, Melk, Rundvlees, Gevogelte, Tarwe, Lactose","Keukens, Hollands, Gevogelte"
"Stroganoffburger, savooie kool met saus en aardappelpuree",500 gram,"8,55","savooie kool (25%), aardappel (24%), water, varkensvlees (13%), melk (lactose, melk), zonnebloemolie ongehard, paneermeel (tarwe), tarwebloem (tarwe), zout, kruiden & specerijen, palmvet ongehard, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, verdikkingsmiddel (gemodificeerd maiszetmeel), maltodextrine, tarwezetmeel (tarwe), gejodeerd zout, paprika granulaat, tomatenpoeder, dextrose, uienpoeder, palmolie ongehard, conserveermiddelen (E202), boteraroma (lactose, melk), melkeiwitten (lactose, melk), lactose (lactose, melk), ui, natuurlijk aroma (mosterd, selderij), raapzaadolie ongehard, tomatenpuree, maisolie, aroma, volle melkpoeder (lactose, melk), paprikasap concentraat, knoflookextract, mosterdmeel (mosterd), champignonpoeder, gehydrolyseerd soja-eiwit (soja), gehydrolyseerd plantaardig eiwit (tarwe), gistextract, glucosestroop, karamelsuikerstroop, paprika, stabilisatoren (xanthaangom), antioxidanten (E306).","Aanwezig: Gluten, Soja, Melk, Selderij, Mosterd, Varkensvlees, Tarwe, Lactose","Keukens, Hollands, Varkensvlees"
"Kip teriyaki, massala zoete aardappel en quinoa",500 gram,"8,55","water, aardappel zoet, kip (15%), erwten, ui, pompoen, kokos, suiker, quinoa, sojabonen (soja), olijfolie ongehard, kruiden & specerijen (selderij), zout, tarwe (tarwe), glucosestroop, gemodificeerd maiszetmeel, rijstazijn, soja-olie ongehard (soja), gejodeerd zout, natuurlijk aroma (mosterd, selderij), citroensap, tapiocazetmeel, xylose, mango, voedingszuren (citroenzuur, azijnzuur), raapzaadolie ongehard, smaakversterkers (E621), citrusvezel, conserveermiddelen (E210, E202, E223), melado.","Aanwezig: Gluten, Soja, Selderij, Mosterd, Gevogelte, Glutamaten, Tarwe","Keukens, Oosters, Gevogelte, Kleine maaltijden (350 gram)"
"Vegaballetjes, rode bieten en aardappelpuree (Vega)",,,"rode biet, aardappel (29%), water, melk (lactose, melk), oesterzwam, zonnebloemolie ongehard, kokosolie ongehard, soja-eiwit (soja), suiker, aardappelzetmeel, zout, natuurazijn, erwteneiwit, tarwezetmeel (tarwe), tarwegluten (tarwe), rijst, gejodeerd zout, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, maltodextrine, verdikkingsmiddel (E401, E461), kruiden & specerijen, natuurlijk aroma (mosterd, selderij), boteraroma (lactose, melk), conserveermiddelen (E202, E224), bietenpoeder, voedingszuren (melkzuur), gerstemoutextract (gerst), citroensap, appelazijn, dextrose (tarwe), zeezout, havervezel (haver) (haver), vitamine b12, glucosestroop, tomatenpuree, maisolie, aroma, raapzaadolie ongehard, ui, karamelsuikerstroop, paprika.","Aanwezig: Gluten, Soja, Melk, Selderij, Mosterd, Tarwe, Gerst, Haver, Lactose","Keukens, Vegetarisch, Vegetarisch"
"Vegaballetjes, spitskool met saus en aardappelen (Vega)",,,"aardappel (40%), spitskool (30%), water, oesterzwam, kokosolie ongehard, zonnebloemolie ongehard, soja-eiwit (soja), tarwebloem (tarwe), verdikkingsmiddel (gemodificeerd maiszetmeel, E401, E461), palmvet ongehard, zout, gejodeerd zout, erwteneiwit, tarwezetmeel (tarwe), tarwegluten (tarwe), rijst, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, maltodextrine, kruiden & specerijen, palmolie ongehard, melkeiwitten (lactose, melk), lactose (lactose, melk), bietenpoeder, voedingszuren (melkzuur), gerstemoutextract (gerst), citroensap, appelazijn, dextrose (tarwe), zeezout, havervezel (haver) (haver), natuurlijk aroma, ui, volle melkpoeder (lactose, melk), uienpoeder, raapzaadolie ongehard, gehydrolyseerd plantaardig eiwit (tarwe), gistextract, vitamine b12, tomatenpuree, maisolie, aroma, karamelsuikerstroop, stabilisatoren (xanthaangom), antioxidanten (E306), paprika.","Aanwezig: Gluten, Soja, Melk, Tarwe, Gerst, Haver, Lactose","Keukens, Vegetarisch, Vegetarisch"
Stamppot hete bliksem met vegaballetjes (Vega),,,"aardappel (31%), water, appel (22%), oesterzwam, zonnebloemolie ongehard, kokosolie ongehard, soja-eiwit (soja), suiker, melkpoeder (lactose, melk), gejodeerd zout, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, erwteneiwit, maltodextrine, raapzaadolie gehard, tarwezetmeel (tarwe), tarwegluten (tarwe), rijst, zout, melk (lactose, melk), aardappelzetmeel, room (lactose, melk), voedingszuren (soja) (citroenzuur, melkzuur, E322 (soja)), natuurlijk aroma (mosterd, selderij), verdikkingsmiddel (E401, E461), antioxidanten (E300, E304), kruiden & specerijen (selderij), bietenpoeder, gerstemoutextract (gerst), citroensap, appelazijn, dextrose (tarwe), zeezout, havervezel (haver) (haver), aroma, tomatenpuree, maisolie, glucosestroop, vitamine b12, ui, karamelsuikerstroop, raapzaadolie ongehard, emulgatoren (E450), paprika, conserveermiddelen (E223), kleurstoffen (caroteen).","Aanwezig: Gluten, Soja, Melk, Selderij, Mosterd, Sulfiet, Tarwe, Gerst, Haver, Lactose","Keukens, Vegetarisch, Vegetarisch"
Stamppot snijbonen met vegaballetjes (Vega),,,"aardappel (34%), water, snijbonen (27%), oesterzwam, zonnebloemolie ongehard, kokosolie ongehard, soja-eiwit (soja), melkpoeder (lactose, melk), gejodeerd zout, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, erwteneiwit, zout, raapzaadolie gehard, maltodextrine, kruiden & specerijen (mosterd, selderij), tarwezetmeel (tarwe), tarwegluten (tarwe), rijst, melk (lactose, melk), room (lactose, melk), natuurlijk aroma (mosterd, selderij), natuurazijn, verdikkingsmiddel (E401, E461), voedingszuren (soja) (melkzuur, E322 (soja)), bietenpoeder, gerstemoutextract (gerst), citroensap, appelazijn, dextrose (tarwe), zeezout, havervezel (haver) (haver), glucosestroop, aroma, suiker, tomatenpuree, maisolie, vitamine b12, raapzaadolie ongehard, ui, karamelsuikerstroop, antioxidanten (E304), emulgatoren (E450), paprika, kleurstoffen (caroteen).","Aanwezig: Gluten, Soja, Melk, Selderij, Mosterd, Tarwe, Gerst, Haver, Lactose","Keukens, Vegetarisch, Vegetarisch"
"Groenteschijf, broccoli met saus en aardappelpuree (Vega)",,,"broccoli (31%), aardappel (24%), water, melk (lactose, melk), linzen, tarwebloem (tarwe), sojabonen (soja), zonnebloemolie ongehard, zout, dadel, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, palmvet ongehard, verdikkingsmiddel (gemodificeerd maiszetmeel, E461), kruiden & specerijen, maltodextrine, haver (haver), azijn, wortel, gejodeerd zout, paprika, aardappelzetmeel, erwteneiwit, prei, palmolie ongehard, conserveermiddelen (E202), boteraroma (lactose, melk), vitamine b12, ijzer, psylliumvezel, melkeiwitten (lactose, melk), lactose (lactose, melk), ui, tomatenpuree, maisolie, aroma, volle melkpoeder (lactose, melk), uienpoeder, raapzaadolie ongehard, gehydrolyseerd plantaardig eiwit (tarwe), gistextract, karamelsuikerstroop, stabilisatoren (xanthaangom), antioxidanten (E306).","Aanwezig: Gluten, Soja, Melk, Tarwe, Haver, Lactose","Keukens, Vegetarisch, Vegetarisch"
"Champignonragout, doperwten en zilvervliesrijst (Vega)",,,"erwten (36%), rijst (30%), water, champignon (6%), verdikkingsmiddel (gemodificeerd maiszetmeel, gemodificeerd aardappelzetmeel, guargom), ui, melk (lactose, melk), room (lactose, melk), tarwebloem (tarwe), palmolie ongehard, volle melkpoeder (lactose, melk), maiszetmeel, palmvet ongehard, zout, lactose (lactose, melk), melkeiwitten (lactose, melk), gejodeerd zout, maltodextrine, aroma, kruiden & specerijen, zetmeel, suiker, natuurlijk aroma, gistextract, champignonpoeder, uienpoeder, tomatenpoeder, antioxidanten (E300, E306), voedingszuren (citroenzuur), raapzaadolie ongehard, emulgatoren (E450iii).","Aanwezig: Gluten, Melk, Tarwe, Lactose","Keukens, Vegetarisch, Vegetarisch"
"Champignonragout, snijbonen en aardappelpuree (Vega)",,,"snijbonen (32%), aardappel (25%), water, melk (lactose, melk), champignon (6%), verdikkingsmiddel (gemodificeerd maiszetmeel, gemodificeerd aardappelzetmeel, guargom), ui, zonnebloemolie ongehard, room (lactose, melk), tarwebloem (tarwe), zout, palmolie ongehard, volle melkpoeder (lactose, melk), maiszetmeel, palmvet ongehard, lactose (lactose, melk), kruiden & specerijen, melkeiwitten (lactose, melk), gejodeerd zout, maltodextrine, aroma, conserveermiddelen (E202), boteraroma (lactose, melk), zetmeel, suiker, natuurlijk aroma, champignonpoeder, gistextract, uienpoeder, tomatenpoeder, antioxidanten (E300, E306), voedingszuren (citroenzuur), raapzaadolie ongehard, emulgatoren (E450iii).","Aanwezig: Gluten, Melk, Tarwe, Lactose","Keukens, Vegetarisch, Vegetarisch"
"Vegetarische cheeseburger, rode bieten en aardappelpuree",,,"rode biet, aardappel (24%), water, melk (lactose, melk), kaas (lactose, melk), zonnebloemolie ongehard, tarwebloem (tarwe), suiker, tarwemeel (tarwe), kippenei-eiwit (eieren), aardappelzetmeel, gemodificeerd tarwezetmeel (tarwe), zout, natuurazijn, gemodificeerd aardappelzetmeel, gemodificeerd maiszetmeel, maltodextrine, aroma (lactose, melk), gejodeerd zout, plantaardig eiwit (tarwe), kruiden & specerijen, conserveermiddelen (E202, E251, E224), kleurstoffen (caroteen, paprika-extract, curcumine), boteraroma (lactose, melk), zuursel, havervezel (haver) (haver), natuurlijk aroma (mosterd, selderij), tomatenpuree, maisolie, ijzer, stremsel, verdikkingsmiddel (E461), voedingszuren (E326), glucosestroop, ui, karamelsuikerstroop, raapzaadolie ongehard, paprika.","Aanwezig: Gluten, Eieren, Melk, Selderij, Mosterd, Tarwe, Haver, Lactose","Keukens, Vegetarisch, Vegetarisch"
