Categorie,Naam,Ingrediënten,URL
Hollandse maaltijden,Gehaktbal in jus met witlof à la crème en aardappelblokjes met bieslook,"Witloof 36%, aardappelen 25%, water, gehaktbal gegaard 15% (varkensvlees, rundvlees, water, zetmeel, zeezout, ui, varkenseiwit, zout, specerijen, uienpoeder, knoflookpoeder, gekarameliseerde suiker), uien, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), volleMELKpoeder, rundvleesextract (rundvlees, zout), TARWEbloem, gemodificeerd zetmeel, TARWEbloem, zetmeel, bieslook 0,3%, zout, kleurstof: karamel, antioxidant: citroenzuur en specerijen.",https://www.versaantafel.nl/huisgemaakte-gehaktbal-in-jus-met-witlof-met-gekookte-aardappelen-met-bieslook
Hollandse maaltijden,Witlofschotel met ham- en kaassaus en aardappelpuree,"Witloof 29%, aardappelen 26%, water, pic nic 8% (varkensvlees, water, zout, dextrose, stabilisator: carrageen, antioxidant: natriumascorbaat, conserveermiddel: natriumnitriet), KAAS 5%, volleMELKpoeder, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), EIgeel, TARWEbloem, gemodificeerd zetmeel, zout, groentebouillon (zout, gistextract, zetmeel, zonnebloemolie, groente-extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, knoflook, kruiden en specerijen), specerijen, antioxidant: citroenzuur.",https://www.versaantafel.nl/witlofschotel-met-ham-en-kaassaus-en-aardappelpuree
Hollandse maaltijden,Kabeljauwfilet in vissaus met worteltjes en aardappelpuree,"Spinazie 23%, aardappelen 20%, KABELJAUW MSC 16%, water, room (MELK), fijne groenten 5% (champignons, prei, wortelen), sjalotten, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), witte wijn, volleMELKpoeder, bouillon (visfond (KABELJAUWextract, ANSJOVISextract, KOOLVISextract), glucose, zonnebloemolie, maltodextrine, zout, uienextract, kruidenextracten, witte peperextract), boter (MELK), EIgeel, witte SELDERIJ, TARWEbloem, gemodificeerd zetmeel, zout, citroensap, peterselie, knoflook, specerijen.",https://www.versaantafel.nl/kabeljauwfilet-in-romige-vissaus-met-worteltjes-en-aardappelpuree
Hollandse maaltijden,Zalmfilet in dillesaus met Parijse worteltjes en aardappelpuree,"Wortelen 30%, aardappelen 23%, Atlantische ZALM ASC 14%, water, ROOM, zonnebloemolie, uien, volle MELKpoeder, BOTER, EIgeel, witte wijn, TARWEbloem, zetmeel, suiker, zout, VISbouillon (maltodextrine, zetmeel, TARWEbloem, VISpoeder, zout, natuurlijk aroma, zonnebloemolie, glucosestroop, MELKeiwitten, witte wijnextract, uien, sacharose), groentebouillon (zout, gistextract, zetmeel, zonnebloemolie, groente -extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, knoflook, kruiden en specerijen), dijonMOSTERD (water, MOSTERDzaad, azijn, zout, voedingszuur: citroenzuur), kruiden en specerijen.",https://www.versaantafel.nl/zalmfilet-in-dillesaus-met-parijse-worteltjes-en-aardappelpuree
Hollandse maaltijden,Kruidige braadworst in jus met spruitjes en aardappelpuree,"Spruiten 28%, worst 21% (varkensvlees, water,TARWEbloem, natuurlijk aroma (bevat SELDERIJ), paneermeel (TARWEbloem, zout, gist), specerijen en kruiden (bevat MOSTERD), voedingsvezel, erwtenzetmeel, EIpoeder, dextrose, peterselie, antioxidanten: natriumascorbaat, ascorbinezuur, trinatriumcitraat, voedingszuren: citroenzuur, natriumacetaat), aardappelen 20%, water, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), gegrilde uien, volleMELKpoeder, boter (MELK), EIgeel, zout, fond (zetmeel, TARWEbloem, natuurlijk aroma, zout, sucrose, tomaat extract, wortelextract, dextrose, koolzaadolie, witte wijn extract, kalfsvlees, knoflook, peper, maltodextrine, oplosbare cichorei, tomaten, rundvet, rundsvlees), TARWEbloem, gemodificeerd zetmeel, tomatenconcentraat, alcoholazijn, kleurstof: karamel, suiker, specerijen.",https://www.versaantafel.nl/braadworst-met-spruitjes-en-aardappelpuree
Hollandse maaltijden,Speklapje in jus met rode bietjes en gekookte aardappelen,"Aardappelen 30%, water, rode biet 20%, speklapje 16% (varkensvlees, specerijen, water, tijm, natuurlijk aroma, zout, maltodextrine, zetmeel, gistextract, plantaardige olie (raap, zonnebloem), extract van paprika), plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), uien, rundvleesextract (rundvlees, zout), TARWEbloem, gemodificeerd zetmeel, zetmeel, suiker, zout, citroensap uit sapconcentraat, kleurstof: karamel, bouillon (zout, natuurlijk aroma, zetmeel, zonnebloemolie, groente-extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, knoflook, specerijen), peper. Let op! Deze maaltijd kan door kruiscontaminatie sporen van melk (lactose) bevatten.",https://www.versaantafel.nl/gebakken-speklap-met-rode-bietjes-en-gekookte-aardappelen
Hollandse maaltijden,"Gehaktschotel met prei à la crème, aardappelpuree en kaasgratin","Aardappelen 27%, prei 26%, water, bereid gehakt 10% (rundvlees, varkensvlees, zout, specerijen, antioxidanten: natriumascorbaat, ascorbinezuur), tomaten, volleMELKpoeder, zonnebloemolie, witte SELDERIJ, wortelen, KAAS 2%, uien, ROOM, gemodificeerd zetmeel, EIgeel, BOTER, olijfolie, rundvleesextract (rundvlees, zout), zout, groentebouillon (groente-extracten (wortelen, uien, bloemkool, tomaten, champignons, lavas, knoflook), zout, plantaardige olie (koolzaad, zonnebloem), suiker, zetmeel, kruiden, specerijen, specerij-extract), tomatenconcentraat, knoflook, kleurstof: karamel, kuiden en specerijen. Let op! Deze maaltijd kan door kruiscontaminatie sporen van gluten bevatten.",https://www.versaantafel.nl/gehaktschotel-met-romige-prei-aardappelpuree-en-kaasgratin
Hollandse maaltijden,Kibbeling in remouladesaus met worteltjes- en doperwtenmix en gebakken gekruide aardappelblokjes,"Kibbeling MSC 20% (Alaska pollak (VIS), TARWEbloem, zetmeel, plantaardige olie (zonnebloem en/ of raapzaad, in wisselende verhoudingen), maïsmeel, gemodificeerd zetmeel (TARWE, maïs), zout, MELKeiwit, heel EI poeder, dextrose, gedroogde groenten (ui, knoflook), kruiden en specerijen, LACTOSE, suikers (gedroogde glucosestroop), natuurlijk VIS aroma, VISpoeder, rijsmiddelen: difosfaten, natriumcarbonaten), erwten 20%, gebakken aardappelblokjes 18% (aardappel, zonnebloemolie, kruiden, zout, knoflook, specerijen, dextrose), wortelen 14%, water, room (MELK), sjalotten, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), boter (MELK), volleMELKpoeder, kappertjes (kappers, water, azijn, zout), augurken (augurken, water, natuurazijn, voedingszuur: azijnzuur, zout, conserveermiddel: natriumdisulfiet), TARWEbloem, gemodificeerd zetmeel, azijn, bouillon (maltodextrine, zetmeel, TARWEbloem, VISpoeder, zout, natuurlijk aroma, zonnebloemolie, glucosestroop, MELKeiwitten, witte wijnextract, uien, sacharose, groente-extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, knoflook, specerijen), suiker, dijonmosterd (water, MOSTERDzaad, azijn, zout, voedingszuur: citroenzuur), zout, kruiden, peper.",https://www.versaantafel.nl/kibbeling-met-een-mix-van-worteltjes-en-doperwten-gekruide-aardappelblokjes
Hollandse maaltijden,Hollands stoofpotje met andijvie à la crème en aardappelpuree,"Andijvie 30%, aardappelen 20%, water, rundstoofvlees 9% (rundvlees, water, zetmeel, zout), pulled beef 4% (rundsvlees, zout), plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), champignons, volleMELKpoeder, room (MELK), wortelen, zilverui, bouillon (zetmeel, natuurlijk aroma, dextrose, zout, oplosbare cichorei, tomaten, rundvet, rundsvlees, knoflook, zonnebloemolie, groente-extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, TARWEbloem, sucrose, koolzaadolie, witte wijn extract, kalfsvlees, maltodextrine, specerijen), uien, zetmeel, EIgeel, zout, tomatenconcentraat, TARWEbloem, peterselie, kleurstof: karamel, knoflook, specerijen.",https://www.versaantafel.nl/hollands-stoofpotje-met-andijvie-a-la-creme-en-aardappelpuree
Hollandse maaltijden,Schnitzel in jus met sperzieboontjes en gebakken aardappelblokjes,"Sperziebonen 32%, gekruide aardappelkubus 31% (aardappelen, zonnebloemolie, kruiden, zout, knoflook, specerijen, dextrose), varkensschnitzel gepaneerd 16% (varkensvlees, paneermeel (TARWEbloem, TARWEzemelen, zout, gist, dextrose, kruiden en specerijen (MOSTERD, SELDERIJ), knoflook), zout, zetmeel, maïsolie, verdikkingsmiddel: xanthaangom, zuurteregelaar: natriumcarbonaten, antioxidant: natriumascorbaat, voedingszuren: natriumcitraten, natriumacetaten, geleermiddel: carrageen), water, sjalotten, BOTER, zonnebloemolie, ROOM, rundvleesextract (rundvlees, zout), TARWEbloem, gemodificeerd zetmeel, tomatenconcentraat, zout, kleurstof: karamel, groentebouillon (groente-extracten (wortelen, uien, bloemkool, tomaten, champignons, lavas, knoflook), zout, plantaardige olie (koolzaad, zonnebloem), suiker, zetmeel, kruiden, specerijen, specerij-extract), knoflook, specerijen.",https://www.versaantafel.nl/schnitzel-in-jus-met-sperziebonen-en-gekruide-aardappelkubus
Hollandse maaltijden,Jachtschotel met rode kool en aardappelpuree,"Aardappelen 24%, water, rode kool 16%, stoofvlees 9% (rundvlees, water, zetmeel, zout), appelen 3%, appelmoes 3% (appelen, zuurteregelaar: citroenzuur, antioxidant: ascorbinezuur), plantaardige oliën (zonnebloem, koolzaad, in wisselende verhouding), appelsap uit sapconcentraat, ui, suiker, volleMELKpoeder, pulled beef 1,3% (rundsvlees, zout), champignons, veenbessen compote (veenbessen, suiker, water, verdikkingsmiddel: pectine, zuurteregelaar: calciumcitraat), zilverui, fond (zetmeel, natuurlijk aroma, dextrose, zout, oplosbare cichorei, tomaten, rundvet, rundsvlees, knoflook, zonnebloemolie, koolzaadolie, groente-extracten (SELDERIJ, uien, tomaten ,wortelen), uienpoeder, TARWEbloem, sucrose, witte wijnextract, kalfsvlees, maltodextrine, specerijen), EIgeel, spekreepjes (varkensvlees, water, zout, dextrose, natuurlijk aroma, stabilisatoren: pentanatriumtrifosfaat, antioxidant: natriumascorbaat, conserveermiddel: natriumnitiriet, rook), zetmeel, tomatenconcentraat, zout, TARWEbloem, dijonmosterd (water, MOSTERDzaad, azijn, zout, voedingszuur: citroenzuur), kleurstof: karamel, citroensap uit sapconcentraat, specerijen, laurier.",https://www.versaantafel.nl/jachtschotel-met-rode-kool-en-appeltjes-en-aardappelpuree
Hollandse maaltijden,Kip cordon bleu met spinazie à la crème en puree,"Spinazie 28%, kipcordon bleu 23% (kippenvlees, kalkoenvlees, vetpoeder (palmolie, weipoeder (MELK), MELKpoeder), KAASpoeder, MELKpoeder, ROOMpoeder, zonnebloemolie, water, TARWEbloem, zout, dextrose, gedroogde glucosestroop, aroma (MELK), uienpoeder, gistpoeder, knoflookpoeder, suiker, specerijen, specerijenextract (SELDERIJ), gemodificeerd zetmeel, TARWE zetmeel, kruiden, voedingszuur: citroenzuur, gist, kleurstoffen: annatto bixine en curcumine, curcumapoeder), aardappelen 19%, water, ROOM, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), volleMELKpoeder, gemodificeerd zetmeel, EIgeel, uien, zout, TARWEbloem, kippenbouillon (zout, zetmeel, LACTOSE, natuurlijk aroma, maltodextrine, dextrose, kippenvet en -vlees, uien, wortelen, koolzaadolie, specerijen), tomatenconcentraat, kleurstof: karamel, geroosterd kippenaroma, knoflook, rozemarijn, specerijen.",https://www.versaantafel.nl/rijkelijk-gevulde-cordon-bleu-met-gesneden-spinazie-en-aardappelpuree
Hollandse maaltijden,Kipschnitzel in stroganoffsaus met snijboontjes en aardappelbolletjes,"Bonen 28%, aardappelnootjes 25% (aardappelen, zonnebloemolie, zout, dextrose, emulgatoren: hydroxypropylmethylcellulose, peper), kipfilet gepaneerd 20% (kipfilet, plantaardige oliën (zonnebloem, koolzaad), paneermeel (TARWE), zetmeel, TARWEbloem, zout, TARWEzetmeel, maltodextrine, bamboevezel, maïsbloem, TARWEgluten, verdikkingsmiddel: xanthaangom, gist, kleurstof: curcumine), suiker, moutextract (GERST)), water, champignons 6%, room (MELK), rode paprika, sjalotten, uien, tomatenconcentraat, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), gemodificeerd zetmeel, boter (MELK), rode wijn, rundvleesextract (rundvlees, zout), vodka, volleMELKpoeder, peterselie, champignon extract (champignonsapconcentraat, maltodextrine), zout, knoflook, specerijen.",https://www.versaantafel.nl/kipschnitzel-stroganoffsaus-snijbonen-en-gebakken-krieltjes
Hollandse maaltijden,Vleeskroketten met appel- en rozijnencompote en aardappelbolletjes,"vleeskroket 33% (water, rundvlees gekookt, plantaardige oliën (palm, raap), paneermeel (TARWEbloem, volkorenTARWEmeel, zonnebloemolie, gist, zout), TARWEbloem, doorhaalvloeistof (water, gedroogde glucosestroop, witte basterdsuiker (suiker, invertsuikerstroop), TARWEbloem, dextrose, stabilisator: E466, zout, TARWE-eiwit, donkere basterdsuiker (suiker, suikerstroop, kleurstof: E150c)), glucosestroop, ui, aroma (bevat TARWE, smaakversterkers: E621, E627, E631, E635), rundergelatine, kruiden en specerijen, verdikkingsmiddel: E464, MELKeiwit), appel 30% (appel, water, zuurteregelaar: citroenzuur, antioxidant: ascorbinezuur), aardappelnootjes 26% (aardappelen, raapzaadolie, dextrose, zout, emulgatoren: hydroxypropylmethylcellulose, specerijen), water, suiker, rozijnen 1% (rozijnen, katoenzaadolie), gemodificeerd zetmeel, citroensap uit sapconcentraat.",https://www.versaantafel.nl/krokante-vleeskroketten-met-appel-rozijnencompote-en-aardappelbolletjes
Hollandse maaltijden,Gegrilde kippenbout met groentenmix en aardappelpuree,"Kippenvlees 28%, aardappelen 19%, water, erwten 9%, bonen 9%, wortelen 9%,plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), volle MELKpoeder, BOTER, EIgeel, TARWEbloem, zetmeel, zout, groentebouillon (zout, gistextract, zetmeel, zonnebloemolie, groente-extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, knoflook, kruiden en specerijen), aroma, kippenbouillon (zout, zetmeel, LACTOSE, gistextract, maltodextrine, dextrose, kippenvet en kippenvlees, uien, wortelen, zonnebloemolie, specerijen), tomatenconcentraat, kleurstof: karamel, specerijen.			Kippenvlees 28%, aardappelen 19%, water, erwten 9%, bonen 9%, wortelen 9%,plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), volle MELKpoeder, BOTER, EIgeel, TARWEbloem, zetmeel, zout, groentebouillon (zout, gistextract, zetmeel, zonnebloemolie, groente-extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, knoflook, kruiden en specerijen), aroma, kippenbouillon (zout, zetmeel, LACTOSE, gistextract, maltodextrine, dextrose, kippenvet en kippenvlees, uien, wortelen, zonnebloemolie, specerijen), tomatenconcentraat, kleurstof: karamel, specerijen.",https://www.versaantafel.nl/gegrilde-kippenbout-met-een-mix-van-groenten-en-aardappelpuree
Hollandse maaltijden,Runderlapje in jus met stoofperen en aardappelpuree,"Stoofpeer op sap 34% (stoofpeer, water, suiker, aroniaconcentraat, specerijen, conserveermiddel: kaliumsorbaat), aardappelen 22%, water, runderlapje 15% (rundvlees, water, gemodificeerd zetmeel, zetmeel, zout, tomatenpoeder, suiker, uienpoeder, gistextract, natuurlijk aroma, kruiden en specerijen, gekarameliseerde suiker, gerookt paprikapoeder, rode paprika olie, azijnpoeder, gehydrolyseerd mais eiwit), plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), volle MELKpoeder, rundvleesextract (rundvlees, zout), EIgeel, TARWEbloem, gemodificeerd zetmeel, zetmeel, zout, kleurstof: karamel, specerijen.",https://www.versaantafel.nl/runderlapje-in-jus-met-hollandse-stoofperen-en-aardappelpuree
Hollandse maaltijden,"Gehaktbal met satésaus, sperzieboontjes en gebakken aardappelen","Bonen 29%, gebakken aardappelkubussen 26% (aardappel, zonnebloemolie, dextrose), gehaktbal gegaard 15% (varkensvlees, rundvlees, water, zetmeel, zout, gedroogde uien, varkenseiwit, zout, specerijen, uienpoeder, knoflookpoeder, gekarameliseerde suiker), water, PINDAnoten pasta 5%, rode paprika, ketjap manis (suikerstroop, soja saus (water, SOJAbonen, geroosterde TARWE, moutextract (GERST)), azijn, rode wijnextract, gistextract), zonnebloemolie, uien, soja saus (water, SOJAbonen, geroosterd TARWE, zout, alcohol), tomatenconcentraat, suiker, zetmeel, sambal (rode chilli, zout), kandijsuiker (suiker, kandijstroop, kleurstof: ammoniakkaramel), uienpoeder, knoflook, zout, specerijen. Let op! Deze maaltijd kan door kruiscontaminatie sporen van melk (lactose) bevatten.",https://www.versaantafel.nl/gehaktbal-met-satesaus-sperzieboontjes-en-gebakken-aardappelen
Stamppotten,Preistamppot met kipfilet in jus,"Aardappelen 31%, prei 25%, water, kipfilet geroosterd 13% (kip, zetmeel, dextrose, maltodextrine, zout,  d-xylose), ui, zonnebloemolie, volleMELKpoeder, BOTER, zout, fond (zetmeel, TARWEbloem, natuurlijk aroma, zout, sacharose, tomaat extract, wortelextract, dextrose, zonnebloemolie, witte wijn extract, kalfsvlees, knoflook, peper, maltodextrine, oplosbare cichorei, tomaten, rundvet, rundsvlees), TARWEbloem, gemodificeerd zetmeel, tomatenconcentraat, azijn, kleurstof: karamel, suiker, specerijen.",https://www.versaantafel.nl/preistamppot-met-malse-kipfilet-in-jus
Stamppotten,Hutspot met runderstoofvlees,"Aardappelen 30%, water, wortelen 17%, rundstoofvlees 13% (rundvlees, water, zetmeel, zout), uien, zonnebloemolie, volleMELKpoeder, BOTER, gemodificeerd zetmeel, rundvleesextract (rundvlees, zout), azijn, zout, suiker, tomatenconcentraat, groentebouillon (groente-extracten (wortelen, uien, bloemkool, tomaten, champignons, lavas, knoflook), zout, plantaardige olie (koolzaad, zonnebloem), suiker, zetmeel, kruiden, specerijen, specerij-extract), kleurstof: karamel, specerijen en kruiden. Let op! Deze maaltijd kan door kruiscontaminatie sporen van gluten bevatten.",https://www.versaantafel.nl/hutspot-naar-oud-hollands-recept-met-stukjes-runderstoofvlees-in-jus
Stamppotten,Rodekoolstamppot met gehaktballetjes in jus,"Aardappelen 36%, rode kool 20%, water, gehaktballetjes 13% (varkensvlees, rundsvlees, zetmeel, zout, voedingsvezel (erwt, bamboe), specerijen, dextrose, zuurteregelaar: natriumacetaten, antioxidanten: natriumascorbaat, natriumcitraten), uien, BOTER, appelmoes (appelen, zuurteregelaar: citroenzuur, antioxidant: ascorbinezuur), appelen, gemodificeerd zetmeel, suiker, azijn, koolzaadolie, rundvleesextract (rundvlees, zout), zout, tomatenconcentraat, groentebouillon (groente-extracten (wortelen, uien, bloemkool, tomaten, champignons, lavas, knoflook), zout, plantaardige olie (koolzaad, zonnebloem), suiker, zetmeel, kruiden, specerijen, specerij-extract), kleurstof: karamel, kruiden en specerijen. Let op! Deze maaltijd kan door kruiscontaminatie sporen van gluten bevatten.",https://www.versaantafel.nl/rode-kool-stamppot-met-gehaktballetjes
Stamppotten,Viergroentenstamppot met gehaktbal in jus,"Aardappelen 33%, water, gehaktbal gegaard 14% (varkensvlees, rundvlees, water, zetmeel, zout, gedroogde uien, varkenseiwit, kruiden en specerijen, uienpoeder, knoflookpoeder, kleurstof: karamel), bonen 5%, spinazie 5%, broccoli 4%, uien, zonnebloemolie, volleMELKpoeder, prei, rundvleesextract (rundvlees, zout), TARWEbloem, gemodificeerd zetmeel, zout, kleurstof: karamel, peper.",https://www.versaantafel.nl/stamppot-van-vier-groenten-met-een-huisgemaakte-gehaktbal-in-jus
Stamppotten,Spinaziestamppot met kruidige braadworst in jus,"Aardappelen 36%, spinazie 19%, braadworst 18% (varkensvlees, water, TARWEbloem, natuurlijk aroma (SELDERIJ), paneermeel (TARWEbloem, zout, gist), specerijen en kruiden (MOSTERD), voedingsvezel, erwtenzetmeel, EIpoeder, dextrose, peterselie, antioxidanten: natriumascorbaat, ascorbinezuur, trinatriumcitraat, voedingszuren: citroenzuur, natriumacetaat), water, roomKAAS (ROOM, magere MELK, zout, melkzuurcultuur), sjalotten, BOTER, knoflook, rundvleesextract (rundvlees, zout), zout, TARWEbloem, gemodificeerd zetmeel, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), bieslook, kleurstof: karamel, specerijen.",https://www.versaantafel.nl/spinaziestamppot-met-overheerlijke-braadworst-in-jus
Stamppotten,Hete bliksem met braadworst in jus,"Aardappelen 36%,  worst 17% (varkensvlees, water, TARWEbloem, natuurlijk aroma (SELDERIJ), paneermeel (TARWEbloem, zout, gist), specerijen en kruiden (MOSTERD), voedingsvezel, erwtenzetmeel, EIpoeder, dextrose, peterselie, antioxidanten: natriumascorbaat, ascorbinezuur, trinatriumcitraat, voedingszuren: citroenzuur, natriumacetaat), water, appelmoes 12% (appelen, zuurteregelaar: citroenzuur, antioxidant: ascorbinezuur), appelen, suiker, BOTER, gefruit uien (uien, zonnebloemolie), halfvolle MELK, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), TARWEbloem, zout, bouillon (zout, natuurlijk aroma, zetmeel, zonnebloemolie, groente-extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, knoflook,  specerijen), gemodificeerd zetmeel, kleurstof: karamel, tomatenconcentraat, fond (zetmeel, TARWEbloem, natuurlijk aroma, zout, sucrose, tomaat extract, wortelextract, dextrose, koolzaadolie, witte wijn extract, kalfsvlees, knoflook, peper, maltodextrine), specerijen.",https://www.versaantafel.nl/hete-bliksem-met-braadworst-in-jus
Stamppotten,Boerenkoolstamppot met spekjes en schijfjes rookworst in jus,"Aardappelen 36%, boerenkool 21%, water, rookworst 13% (varkensvlees, water, varkensspek, rundvlees, zetmeel, zout, specerijen, rookaroma, duindoornpoeder, conserveermiddel: natriumnitriet, rook), plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), spekreepjes 2% (varkensvlees, water, zout, dextrose, natuurlijk aroma, stabilisatoren: pentanatriumtrifosfaat, antioxidant: natriumascorbaat, conserveermiddel: natriumnitriet, rook), volle MELKpoeder, rundvleesextract (rundvlees, zout), TARWEbloem, gemodificeerd zetmeel, groentebouillon (zout, gistextract, zetmeel, zonnebloemolie, groente-extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, knoflook, specerijen), zout, kleurstof: karamel, specerijen.",https://www.versaantafel.nl/hollandse-boerenkoolstamppot-met-spekjes-en-gesneden-rookworst-in-jus
Stamppotten,Andijviestamppot met speklapje in jus,"Aardappelen 39%, andijvie 21%, water, speklapje 13% (varkensvlees, specerijen, water, kruiden, natuurlijk aroma, zout, maltodextrine, zetmeel, gist extract, plantaardige olie (koolzaad, zonnebloem), paprika-extract), zonnebloemolie, volle MELKpoeder, rundvleesextract (rundvlees, zout), TARWEbloem, gemodificeerd zetmeel, zout, bouillon (zout, gistextract, zetmeel, zonnebloemolie, groente-extracten (SELDERIJ, uien, prei, tomaten, wortelen), uienpoeder, knoflook, kruiden en specerijen), kleurstof: karamel, specerijen.",https://www.versaantafel.nl/andijviestamppot-met-een-gekruid-speklapje-in-jus
Stamppotten,Zuurkoolstamppot met spekjes en schijfjes rookworst in jus,"Aardappelen 35%, water, wijnzuurkool 16% (witte kool, witte wijn, zout, antioxidant: ascorbinezuur), rookworst 13% (varkensvlees, water, varkensspek, rundvlees, zetmeel, zout, specerijen, rookaroma, duindoornpoeder, conserveermiddel: natriumnitriet, rook), spekreepjes 3% (varkensvlees, water, zout, dextrose, natuurlijk aroma, stabilisatoren: pentanatriumtrifosfaat, antioxidant: natriumascorbaat, conserveermiddel: natriumnitriet, rook), plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), volle MELKpoeder, rundvleesextract (rundvlees, zout), TARWEbloem, gemodificeerd zetmeel, zout, kleurstof: karamel, peper.",https://www.versaantafel.nl/ambachtelijke-zuurkoolstamppot-met-spekjes-en-gesneden-rookworst-in-jus
Internationale maaltijden,Lasagne bolognese,"Water, lasagne 9% (harde TARWEgriesmeel, water, EIEREN), tomaten 9%, gehakt 8% (rundvlees, varkensvlees, zout, specerijen, antioxidanten: natriumascorbaat, ascorbinezuur), courgette, champignons, rode paprika, KAAS 4%, volleMELKpoeder, wortelen, tomatenconcentraat, uien, TARWEbloem, witte SELDERIJ, gemodificeerd zetmeel, zonnebloemolie, olijfolie, zout, knoflook, sambal (rode chilli, zout), kruiden en specerijen.",https://www.versaantafel.nl/lasagne-bolognese
Internationale maaltijden,Hongaarse goulash met doperwten en rijst,"Erwten 31%, gekookte rijst 30% (water, rijst), rundstoofvlees 12% (rundvlees, water, zetmeel, zout), water, uien, pulled beef 2% (rundsvlees, zout), rode paprika, groene paprika, tomatenconcentraat, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), witte wijn, rundvleesextract (rundvlees, zout), zetmeel, suiker, knoflook, citroensap uit sapconcentraat, zout, bouillon (groente-extracten (wortelen, uien, bloemkool, tomaten, champignons), zout, plantaardige olie (zonnebloem, koolzaad), suiker, zetmeel, kruiden, specerij-extract, specerijen, lavas, knoflook), kruiden en specerijen. Let op! Deze maaltijd kan door kruiscontaminatie sporen van gluten of melk (lactose) bevatten.",https://www.versaantafel.nl/rijkgevuldhongaarse-goulash-met-doperwten-en-rijst
Internationale maaltijden,Nasi met kip in zoetzure saus,"Gekookte rijst 34%, groenten 33% (witte kool, rode paprika, prei, uien, wortelen, tomaten), gebakken kip 15% (kip, zout, dextrose), water, omelet (gehele EI, water, koolzaadolie, zetmeel, zout, geconcentreerde citroensap), suiker, ketchup (tomaten, azijn, suiker, zout, extracten kruiden/specerijen (SELDERIJ), specerijen),  plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), ananassap uit sapconcentraat, gemodificeerd zetmeel, zout, gember, bouillon (zout, natuurlijk aroma, zetmeel, zonnebloemolie, groente-extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, knoflook, specerijen), soja saus (water, SOJAbonen, zout, alcoholazijn), ketjap (suiker, water, soja saus (water, SOJAbonen, TARWE, zout, alcohol), zeezout, azijn, rode wijnextract), SESAMolie geroosterd,  vissaus (water, VISextract, zout, suiker, azijn), knoflook, rode chili, sambal (rode chilli, zout), azijn, specerijen. Let op! Deze maaltijd kan door kruiscontaminatie sporen van melk (lactose) bevatten.",https://www.versaantafel.nl/nasi-met-kip-in-zoetzure-saus
Internationale maaltijden,Chili con carne met rundergehakt en rijst,"Gekookte basmatirijst 45% (water, basmatirijst), rode kidney bonen 12% (water, rode kidney bonen, zout), rundsgehakt 10%, water, rode paprika, groene paprika, uien, tomaten, tomatenconcentraat, maïs, gemodificeerd zetmeel, plantaardige oliën (zonnebloem, koolzaad, in wisselende verhoudingen), knoflook, bouillon (zout, natuurlijk aroma, zetmeel, zonnebloemolie, groente-extracten (SELDERIJ, uien, tomaten, wortelen), uienpoeder, knoflook, specerijen), zout, sambal (rode chilli, zout), citroensap uit sapconcentraat, suiker, kruiden en specerijen. Let op! Deze maaltijd kan door kruiscontaminatie sporen van gluten of melk (lactose) bevatten.",https://www.versaantafel.nl/chili-con-carne-met-rundergehakt-en-rijst
Internationale maaltijden,Spaghetti bolognese,"Gekookte pasta 32% (water, harde TARWEgriesmeel), rundsgehakt 12%, tomaten 19%, water, champignons, groene paprika, tomatenconcentraat, wortelen, KAAS 2%, uien, SELDERIJ, olijfolie, gemodificeerd zetmeel, zonnebloemolie, zout, knoflook, sambal (rode chilli , zout), kruiden en specerijen.",https://www.versaantafel.nl/spaghetti-bolognese-gegarneerd-met-kaas
